module output,Emotion,label
Majestic who returned normal after the lockdown.,surprise,Neutral
The bike races at the speed of km lifted,surprise,Neutral
"Pakistani Reaction on Bangalore City INDIA 2020, View & Facts, Karnataka Reaction, Waley",neutral,Positive
bangalore Commissioner Bhaskar Rao Reacts On Lockdown And Bangalore Present Situation,,Positive
"We are all tired, but we need to keep going. The future needs us!.",sadness,negative
"When using social media, judges should be guided by the Bangalore Principles, created over 20 years ago to guide the work and personal lives of magistrates, namely: independence, impartiality, integrity, suitability, equality, competence and diligence.",neutral,neutral
"That's not a Dad Bod, That is a Fat bod and is very bad",sadness,negative
"Hello All, 2 Guys are travelling to Lucknow, UP by Flight from Bangalore. Do they need any E-Pass ? If yes please share the link to apply for EPass.I just met him at Bangalore Airport on the way to Hyderabad",neutral,neutral
"When interstate travel opened, many of those stuck in MH/TN/DELHI will return home,others also find Bangalore better in CORONAVIRUS infected numbers will try to shift to safer places.BUT it is totally the responsibility/duty of host state authorities to screen incoming passengers",neutral,neutral
Bangalore be cold like it's December already. Desperately need a couple of sunny days.,sadness,negative
"OMG! Current windoswap window has DOGGOS in it! With wagging tails! Also amazing deck-plant action. Window is in Bangalore, Inda.",happiness,positive
I can smell something burning in Mumbai from Bangalore. Don't be jealous From Kangana you C Grade Actresses,neutral,neutral
"21/07/2020 05:06We got married
Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb
",sadness,negative
Join this group,neutral,neutral
We must be vary of consequences before build up of relationships. Never trust a chink! He will never be trustworthy!!,hate,neutral
When everything is owned by the government and party where there exists PRIVATE. There is no difference between the party and people. All belong to the party!!,neutral,neutral
"Bangalore, India ",neutral,neutral
"Bangalore stretching and putting on runners-Wraith: What are you doing?Bangalore: Just getting in my cardio for the day pata nahi kya hoga",neutral,neutral
"Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",neutral,neutral
Can be black again,neutral,neutral
Unlearn and adhere to the civilisation!,neutral,neutral
I dreamt I took a transfer from the US to Bangalore in my current company.,happiness,neutral
"LOCATION: Bangalore/Gurgaon.
QUALIFICATIONS:
Bachelor's degree in Computer Science, related technical discipline or equivalent practical experience
8+ years of experience in consumer-facing software products with high levels of concurrency in Gaming",empty,positive
We are safe.. hopefully.. Bangalore has become an epicentre now...No beds in Hospitals n acute shortage of Medical Personnel here..this chinese virus is lab tweaked & is dangerous...Take utmost precautions..,relief,positive
"The all day marathon continues!
Streaming Apex now! 
",empty,neutral
"19/07/2020 05:06
Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",sadness,negative
"Siddapura mosques have started wreaking havoc, 5 times a day, again, starting from 5 AM. Siddapura is incidentally a covid hotspot too. No wonder bangalore has gone out of control. ",sadness,neutral
"have not received this order. Placed 11 days back, delivery in Bangalore only.
Tracking ID 1637511271303
Order ID 80436
Says for July 7, waiting for pick up",worry,neutral
I got trained in Acting from "Centre Stage" in Bangalore!,neutral,neutral
Can it be delivered to Bangalore???,worry,neutral
Screenshot your statement: will continue to send you numbers proving you are wrong every 30 days for 3 months at least. PS: I too am originally from Karnataka (Bangalore) from my father's side.,hate,negative
"1 Bedroom Paying Guest for rent in Electronic City, Bangalore",neutral,neutral
"Live in Palo Duro Canyon, Texas, USA . Playing  Apex Legends; Proficient with Wraith & Pathfinder, and competent with 8 other Legends:  Bloodhound, Gibraltar, Lifeline, Bangalore, Caustic, Wattson, Revanant and Loba.  Casual gamer...in it for fun and friends.  ",happiness,positive
2011-2019 Bangalore CHENNAI Hyderabad vizag. College and Jobs. Guess I am back to Gurugram but home is in Mumbai,empty,neutral
We will ,enthusiasm,neutral
More than just a twitter post saying Bangalore is a lesbianù or something along those lines,surprise,positive
FUCK NOR I'M BELIEVING THAT I'M GOING TO DO A NUDE TEST,anger,negative
"If there is a flight ban on, how illogical it is not to ban flights from Bangalore with the third highest active cases in India? Now who's spreading gloom and doom? ",sadness,negative
Sir good luck you all be alright no worry we need you back monitoring Bangalore God bless .,happiness,positive
Rio de Janeiro in one week and the other in Peru,neutral,neutral
make it look easy not hard,empty,positive
can we get some bangalore love,love,positive
Bangalore is a good city,happiness,positive
Will of a draft beer tower,neutral,neutral
"THE IMPACT ON DESIGN, Naveen G.J., Principal Architect, de Square, Bangalore",empty,neutral
"I see why you a Bangalore main, you coming with all the smoke",empty,positive
IAF cadet from Mysuru is only woman in her course - Bangalore Mirror,empty,neutral
"18/07/2020 05:06
Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",empty,negative
"The speed at which it's spreading now, I don't think there will be any respite sooner..There was also a news that the number of infected in Bangalore itself might be more than 3 Lakhs!!!",worry,negative
BANGALORE MAIN,happiness,positive
"LATE actor Robin Williams son, Zak, became a mental health advocate after his legendary father's untimely passing in 2014",sadness,negative
COME-ON BALD LEGEND,enthusiasm,neutral
"In the rural Kolar region of Bangalore, fresh water is in short supply. We're helping Bangalore Water Supply and Sewerage Board upgrade water treatment at its K&C Valley plant as part of an innovative groundwater rejuvenation program. Take a look",happiness,positive
Making more defence material in INDIA and make the country self dependent. ,relief,positive
Join us ,enthusiasm,positive
Guy couldn't breathe,worry,neutral
 Congress reign is a circus and drama. Most of the congress men are puppets.,fun,positive
"Congress runs with people like Vohra, Anthony, Patel,Aiyar and the like. Because they consent for all the deeds and misdeeds. Primarily they are all YES men!",fun,positive
"16/07/2020 05:06
Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",sadness,negative
Must know that BJP is not untouchable. Also they are more honest and nationalistic than any from congress. If we dig deep in the history of congress we will find mountains instead of mole hills! ,happiness,positive
"No power from past 3 hours in BTM 2nd stage KAS Officer Colony .powercuts in Bangalore.Is this a metropolitan city..!",worry,negative
"Bangalore Apexlegends I love youuu",love,positive
If there is a will there is a way is the saying. Serum institute did not fail India. Hope that they will go forward to find out a vaccine for all humanity! ,happiness,positive
Bangalore has more cases per day now than Delhi does,worry,positive
Remember how Netaji Subhas Chandra Bose was treated when he won the party presidential elections against Achrya Kriplani and none made to work in the working committee. Forced Bose to quit the congress itself!!,sadness,negative
"Make work from home mandatory, there will be less movements.Until IT parks are open, employees will be forced to go even if they fall in 10%.Bangalore is in a very bad condition.†the people under poverty line and below and roadside vendor and extend lockdown further.",worry,negative
There are flight for July 19 and 20 Bangalore. Are these repatriation flights as well ?,worry,neutral
Bangalore and its region have been reconfigured since Tuesday for 10 days.,neutral,neutral
Axis bank credit card department no work from home we have to travel everywhere in bangalore... If corona happens only option suicide,worry,neutral
"I'm extremely ready for this next season of apex legend.
I'm not ready for everyone to suddenly be a bangalore main.
I hope it is anita's season, and I hope it brings good skins for her.",enthusiasm,positive
"buff bangalore,  i'm a bangalore main, she needs a re work for one increase in double time to at least 4 seconds, her ult should drop faster and have a slightly larger area of effect, remove the stun effect when hit by her own ult as well as her teammates",happiness,positive
Let 2019s perform live and let 2019s live. International waters is no one 2019s absolute way and learn to practice tolerance and patience! Give way for universal utilisation of the water route! ,happiness,positive
"Slash the military budget.  Put in contemporary terms: defund it!
Enough is enough. It's time to cut the defense budget",empty,positive
"He's a savage on the field tho, guaranteed yellow every game",sadness,negative
Covid-19: Week-long lockdown comes into force in Bengaluru ,neutral,neutral
bangalore do be very hot not going to lie,worry,positive
May her soul Rest In Peace.,sadness,neutral
"15/07/2020 05:06
Air Temperature: 23.7¬∞C
Real Feel Temperature: 24.3¬∞C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9¬∞C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb",sadness,negative
"""...it doesn't matter what the judges think if Congress didn't act to change the treaties then the treaties are still in full force and effect.""Treaties are still in full force' ",surprise,positive
"RT LauKaya: RT technology: Two weeks after India banned TikTok, a rival app based in Bangalore, Roposo, says it's adding new users at a peak of 500,000 an hour",happiness,positive
Trump is one who needs caution and compassion for Honourable retirement from politics.,worry,neutral
"When reality bites it can really hit hard. Wear a mask!
Ohio Army veteran who refused to wear face mask dies of COVID-19 ",sadness,negative
Is it going to be mandatory for the Apartments of Bangalore Urban to install water meter if they are using tanker water and not the Kavery water?,worry,neutral
Retweet if you're participating in the trend at this time,enthusiasm,neutral
"Speed up and just keep retweeting ",enthusiasm,neutral
"Hit retweet Button harder ",enthusiasm,negative
"Still 12 hrs 30 mins left",worry,neutral
"Increase the speed
40m can be hit",enthusiasm,neutral
No Leaks Mom,empty,neutral
Only retweet please,worry,neutral
Just retweet no likes,empty,neutral
Punching the roots,sadness,neutral
"No egos Just retweet ",empty,neutral
Spotting any celestial event in Bangalore is almost impossible! Today the sky had cleared up a bit but comet wasn't visible coz there were still clouds in the NW direction ... ,sadness,negative
"Attendance at 5:20AM",empty,neutral
"Again lockdown in Bangalore 
Starting from tommorow",sadness,neutral
"Attendance time 
Retweet if you're online ",neutral,neutral
"13.6M loading on few minutes ",empty,negative
30M please,worry,neutral
Increase Speed ??Mom.Let's put 30m,enthusiasm,neutral
This is what the death mass trend means,happiness,neutral
"3 Bedroom Apartment  Flat for rent in Akshaya Nagar, Bangalore",neutral,neutral
Bangalore City  2020  View & Facts Karnataka  India  The Silicon Valley of India,happiness,Positive
"They had said that in their personal opinion lockdown for 15 days would be good, as that much time is required to break the chain.Earlier on Friday, CM Yediyurappa had asserted that lockdown was not the solution for controlling COVID-19 and made it clear that there was no proposal before the government to extend it.",empty,positive
